,Name,Location,Cuisine type,Food rating,Service rating,Ambience rating,Value rating,Rating distribution,Noise,Recommendations,No. of reviews
0,1770 House,"East Hampton, NY",American,4.7,4.8,4.7,4.2,"Rated 5 by 81% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 0% people,Rated 1 by 1% people",Quiet,92%,1035
1,Arethusa al Tavolo,"Bantam, CT",Contemporary American,4.9,4.9,4.7,4.5,"Rated 5 by 92% people,Rated 4 by 7% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,1989
2,Atera,"New York, NY",Contemporary American,4.9,4.9,4.9,4.5,"Rated 5 by 96% people,Rated 4 by 2% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,99%,822
3,Barclay Prime,"Philadelphia, PA",Steakhouse,4.8,4.8,4.8,4.3,"Rated 5 by 89% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,95%,3483
4,Barrique Venice,"Venice, CA",Italian,4.8,4.8,4.8,4.4,"Rated 5 by 87% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,494
5,Bavette's,"Chicago, IL",Steakhouse,4.7,4.6,4.7,4.3,"Rated 5 by 81% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,2756
6,Benu,"San Francisco, CA",Contemporary American,4.9,4.9,4.7,4.4,"Rated 5 by 93% people,Rated 4 by 4% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,96%,1607
7,Bida Manda Restaurant and Bar,"Raleigh, NC",Asian,4.8,4.8,4.7,4.6,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,2959
8,Bones,"Atlanta, GA",Steak,4.8,4.9,4.8,4.5,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,7877
9,BONDST,"New York, NY",Japanese,4.8,4.6,4.6,4.2,"Rated 5 by 86% people,Rated 4 by 9% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,1981
10,Buccan,"Palm Beach, FL",Contemporary American,4.9,4.8,4.7,4.5,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,96%,2487
11,Café Monarch,"Scottsdale, AZ",Contemporary American,4.9,4.9,4.9,4.5,"Rated 5 by 94% people,Rated 4 by 5% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,98%,4024
12,Cafe Provence,"Prairie Village, KS",French American,4.9,4.9,4.8,4.7,"Rated 5 by 94% people,Rated 4 by 5% people,Rated 3 by 0% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,99%,2618
13,Charleston,"Baltimore, MD",American,None,None,None,None,"Rated 5 by 96% people,Rated 4 by 4% people,Rated 3 by 0% people,Rated 2 by 0% people,Rated 1 by 0% people",None,None,3662
14,Charleston Grill,"Charleston, SC",American,4.8,4.9,4.8,4.5,"Rated 5 by 91% people,Rated 4 by 7% people,Rated 3 by 1% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,97%,4491
15,Chez Billy Sud,"Washington, DC",French,4.8,4.8,4.8,4.5,"Rated 5 by 86% people,Rated 4 by 11% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,1938
16,chi SPACCA,"Los Angeles, CA",Italian,4.8,4.7,4.6,4.2,"Rated 5 by 83% people,Rated 4 by 10% people,Rated 3 by 5% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,732
