,Name,Location,Cuisine type,Food rating,Service rating,Ambience rating,Value rating,Rating distribution,Noise,Recommendations,No. of reviews
0,1770 House,"143 Main Street East Hampton, NY  11937",American,4.7,4.8,4.7,4.2,"Rated 5 by 80% people,Rated 4 by 16% people,Rated 3 by 4% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,93%,1035
1,Arethusa al Tavolo,"828 Bantam Road Bantam, CT  06750",Contemporary American,4.9,4.9,4.7,4.5,"Rated 5 by 91% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,1973
2,Atera,"77 Worth St. New York, NY  10013",Contemporary American,4.9,4.9,4.9,4.5,"Rated 5 by 96% people,Rated 4 by 2% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,99%,822
3,Barclay Prime,"237 South 18th Street Philadelphia, PA  19103",Steakhouse,4.8,4.8,4.8,4.3,"Rated 5 by 89% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,95%,3477
4,Barrique Venice,"796 Main St Venice, CA  90291",Italian,4.8,4.8,4.8,4.4,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,489
5,Bavette's,Claim this listing,Steakhouse,4.7,4.6,4.7,4.3,"Rated 5 by 81% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,2756
6,Benu,Claim this listing,Contemporary American,4.9,4.9,4.7,4.4,"Rated 5 by 93% people,Rated 4 by 4% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,96%,1607
7,Bida Manda Restaurant and Bar,"222 S. Blount St. Raleigh, NC  27601",Asian,4.8,4.8,4.7,4.6,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,2959
8,Bones,"3130 Piedmont Road Atlanta, GA  30305",Steak,4.8,4.9,4.8,4.5,"Rated 5 by 89% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,7855
9,BONDST,"6 Bond Street New York, NY  10012",Japanese,4.8,4.6,4.6,4.2,"Rated 5 by 86% people,Rated 4 by 9% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,1981
10,Buccan,"350 South County Road Palm Beach, FL  33480",Contemporary American,4.9,4.8,4.7,4.5,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,96%,2480
11,Café Monarch,"6939 E 1st Avenue Scottsdale, AZ  85251",Contemporary American,4.9,4.9,4.9,4.5,"Rated 5 by 93% people,Rated 4 by 5% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,98%,4005
12,Cafe Provence,"3936 W 69th Terr. Prairie Village, KS  66208",French American,4.9,4.9,4.8,4.7,"Rated 5 by 94% people,Rated 4 by 6% people,Rated 3 by 0% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,99%,2608
13,Charleston,Claim this listing,American,,,,,"Rated 5 by 96% people,Rated 4 by 4% people,Rated 3 by 0% people,Rated 2 by 0% people,Rated 1 by 0% people",,,3662
14,Charleston Grill,Claim this listing,American,4.8,4.9,4.8,4.5,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,4491
15,Chez Billy Sud,"1039 31st St NW Washington, DC  20007",French,4.8,4.8,4.8,4.5,"Rated 5 by 86% people,Rated 4 by 11% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,1932
16,chi SPACCA,"6610 Melrose Ave. Los Angeles, CA  90038",Italian,4.8,4.7,4.6,4.2,"Rated 5 by 83% people,Rated 4 by 10% people,Rated 3 by 5% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,732
17,Coppa,"253 Shawmut Avenue Boston, MA  02118",Italian,4.8,4.7,4.6,4.4,"Rated 5 by 84% people,Rated 4 by 11% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,95%,742
18,CRUST,"668 NW 5th St. Miami, FL  33128",Italian,4.8,4.8,4.6,4.7,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,96%,2073
19,Daniel,"60 East 65th St. New York, NY  10065",French,4.8,4.9,4.8,4.4,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,94%,5980
20,Del Posto,View all,Italian,4.7,4.7,4.8,4.1,"Rated 5 by 81% people,Rated 4 by 10% people,Rated 3 by 5% people,Rated 2 by 3% people,Rated 1 by 1% people",Quiet,84%,6862
21,Double Knot,"120 South 13th St. Philadelphia, PA  19107",Sushi,4.8,4.8,4.8,4.5,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 1% people",Moderate,96%,2331
