,Name,Place,Comments,Overall rating,Food rating,Service rating,Ambience rating,Dates,VIP,Users,No. of reviews
0,1770 House,New York Area,"Took out Saturday night - missed the ambiance of the dining room but the food quality, service, portions and presentation were excellent. Taking out again midweek!",5,5.0,5.0,5.0,2020-04-04 00:00:00.000000,True,Mka1,5
1,1770 House,New York Area,Everything about this restaurant is exquisite from the welcoming fireplace upon entering to the warmed milk served with tea and coffee. Attention to detail is unparalleled.,5,5.0,5.0,5.0,2020-03-07 00:00:00.000000,True,patty,105
2,1770 House,New York Area,My first time and really enjoyed it.  Excellent meal and service.  Great atmosphere - perfect Friday night spot after a long week. We will b back,5,5.0,5.0,5.0,2020-02-28 00:00:00.000000,True,RobertW,33
3,1770 House,New York Area,"Lovely inn & restaurant, excellent service, very good food",3,3.0,5.0,4.0,2020-02-22 00:00:00.000000,True,Jaes,75
4,1770 House,New York Area,"Great food, excellent service, and amazing atmosphere.  I will be returning",5,5.0,5.0,5.0,2020-02-21 00:00:00.000000,True,stamm,4
5,1770 House,New York Area,Great meal and service!,5,5.0,5.0,5.0,2020-02-11 00:00:00.000000,True,greystone22,4
6,1770 House,New York Area,"1770 house consistently has the best food in East Hampton.  The ambiance is wonderful - quiet.  Some may say it's ""stuffy"" but I disagree. I always have a nice night out eating at 1770 House.",5,5.0,5.0,5.0,2020-02-08 00:00:00.000000,False,LynnM,8
7,1770 House,New York Area,We need to dine there more often   Worth the drive from Southampton,5,5.0,5.0,5.0,2020-02-08 00:00:00.000000,True,JimAndAnn,9
8,1770 House,New York Area,Always excellent food and service.,4,4.0,4.0,4.0,2020-02-07 00:00:00.000000,False,OpenTable Diner,3
9,1770 House,New York Area,Fantastic chef and cozy warm space.,4,4.0,5.0,5.0,2020-02-01 00:00:00.000000,True,alylee,21
10,1770 House,,"The 1770 House is the jewel box of east hampton .the tavern is chic and decorated beautifully comfortable with banquet seating and its  interesting looking at the historic foundation and fireplace.The menu is yummy and the music played  is also a bit of mellow rock and roll history   The lovely tranquil main dining room is quiet with tables spaced well to provide personal space.   Both the food and service in both is first rate. I've been many times and whether it's a regular night.  restaurant week or $17.70 night in the tavern, it's always a special night when we go to The 1770 House.",5,5.0,5.0,5.0,2020-02-01 00:00:00.000000,False,KarenD,1
11,1770 House,,Every single thing on the menu was AMAZING! Pricey but highly recommended!,5,5.0,5.0,5.0,2020-01-30 00:00:00.000000,False,ChristinaK,1
12,1770 House,New York Area,"Excellent food and great service! The restaurant never disappointed us whenever we went there for dinner. We highly recommend to all white have not tried this restaurant yet. Whatever you order, you will not be disappointed.",5,5.0,5.0,5.0,2020-01-29 00:00:00.000000,False,OpenTable Diner,31
13,1770 House,New York Area,"Always great food, service is excellent. Great cocktails. Love sitting downstairs in the tavern, very cozy.",5,5.0,5.0,5.0,2020-01-28 00:00:00.000000,False,DrDrew2015,5
14,1770 House,New York Area,My wife and I love this place and make it an ANNUAL MUST during the winter time in the hamptons. We always end up having a drink by the fireplace and before/or/after a fantastic meal. Highly recommend this place for special occasions.,5,5.0,5.0,5.0,2020-01-19 00:00:00.000000,True,BrentB,18
15,1770 House,New York Area,The service was absolutely fantastic. The food was amazing as well.,5,5.0,5.0,5.0,2020-01-18 00:00:00.000000,True,OpenTable Diner,1
16,1770 House,Philadelphia,Mid-winter overnight stay was spectacular! Inn and restaurant were outstanding and the staff couldn't have been more charming.,5,5.0,5.0,5.0,2020-01-15 00:00:00.000000,False,MICHELLER,3
17,1770 House,New York Area,"The hostess wouldn’t seat us at a corner , private table because she said they were committed (room remained 90% empty for the hour we were there). Not her fault but she seated a loud, obnoxious party next to us. Not pleasant.",5,5.0,3.0,1.0,2020-01-11 00:00:00.000000,True,OpenTable Diner,1
18,1770 House,New York Area,"No other restaurant in the Hamptons comes close to the atmosphere and food quality of the 1770 house.   There might be places that are 'hot"" for a year or two or where you might see more famous people , but this who want fine food in a refined atmosphere go to the 1770 House.   Pricey on Friday and Sat night but the Sunday thru Thursday Prix Fixe is a terrific value.",5,5.0,5.0,5.0,2020-01-09 00:00:00.000000,True,EHyrounder,76
19,1770 House,New York Area,"As usual, food was delicious, device was excellent, atmosphere was great and all personnel were warm, welcoming and professional.",5,5.0,5.0,5.0,2020-01-02 00:00:00.000000,False,AlwaysGreatNeverFails,1
20,1770 House,,"We loved our experience at 1770 house. The food was absolutely incredible, the decor was beautiful, and the wait staff were attentive and helpful. Highly recommend! We look forward to coming back again!",5,5.0,5.0,5.0,2019-12-29 00:00:00.000000,False,David,1
21,1770 House,New York Area,"Perfection, love this place!",5,5.0,5.0,5.0,2019-12-28 00:00:00.000000,False,Kathryn,7
22,1770 House,Birmingham,Food was great!,4,5.0,2.0,5.0,2019-12-28 00:00:00.000000,False,Jean,7
23,1770 House,New York Area,Always an exceptional dinner here.  And this is one of the very few restaurants where you can have a conversation over dinner.  It's quiet enough to hear your friends.,5,5.0,5.0,5.0,2019-12-07 00:00:00.000000,True,SteveC,12
24,1770 House,New York Area,1770 is one of my favorite restaurants on Long Island. We decided to stay at the inn the last minute and I am so happy we did. Great service and very clean. I highly really recommend it both the inn and restaurant. We will definitely be back.,5,5.0,5.0,5.0,2019-12-07 00:00:00.000000,False,Ellen,1
25,1770 House,New York Area,It was lively. Perfect 20th anniversary meal.,5,5.0,5.0,5.0,2019-12-06 00:00:00.000000,True,OpenTable Diner,7
26,1770 House,New York Area,The service was sporadic with one waiter & busboy for the dining room. My cocktail was a watered down run&tonic. The food was delicious.,3,4.0,2.0,4.0,2019-12-05 00:00:00.000000,True,JohnJ,15
27,1770 House,New York Area,"The Tavern menu and cooking is excellent, and in a delightful and cozy ""old inn tavern"" below-ground space from the Revolutionary War era.",4,4.0,5.0,5.0,2019-11-26 00:00:00.000000,True,TheRealDeal,30
28,1770 House,New York Area,"Organic chicken, Brussels sprout salad and date cake: the best. The service is consistently impeccable.",5,5.0,5.0,5.0,2019-11-22 00:00:00.000000,True,OpenTable Diner,23
29,1770 House,New York Area,Everything was perfect! Will visit again!,4,4.0,5.0,5.0,2019-11-16 00:00:00.000000,True,FoodLover,9
30,1770 House,New York Area,"A perfect restaurant, in terms of ambience, service drink, and food.Our servers were very knowledgeable and skilled  about the menu and gracious hospitality.",5,5.0,5.0,5.0,2019-11-11 00:00:00.000000,True,RichardL,42
31,1770 House,New York Area,Always good . one of the best in the Hamptons you can even hear everyone at the table which is rare these days.,5,5.0,5.0,5.0,2019-11-10 00:00:00.000000,False,JAMESW,1
32,1770 House,New York Area,"We would go every few months but instead go every few years simply to see if things have changed with the food preparation. They have not.  The menu always tempts but the food is always under-flavored, (not just under-seasoned, which some dishes are), and yet the salad is always too salty.   Frustrating because we are strongly drawn to this elegant room, comforting yet sophisticated inn ambience, superb service, good wine choices, well-made drinks, lovely venue.",4,3.0,5.0,5.0,2019-11-09 00:00:00.000000,True,TheRealDeal,30
33,1770 House,Atlantic City,Absolutely loved the ambiance and charm of 1770. Waiter was very knowledgeable of food and wine recommendations. The food was amazing we will definitely return !,5,5.0,5.0,5.0,2019-11-09 00:00:00.000000,True,OpenTable Diner,4
34,1770 House,New York Area,I love the chicken cooked to perfection on its bed of delicate mushed potatoes the sticky dates cales is out of this world.,5,5.0,5.0,5.0,2019-11-08 00:00:00.000000,True,OpenTable Diner,23
35,1770 House,New York Area,Our meal and service were both excellent,5,5.0,5.0,5.0,2019-11-08 00:00:00.000000,True,Lily,26
36,1770 House,New York Area,"1770 House continues to be East Hamptons best restaurant....Creative menu, great service and a sensational value during restaurant week.",5,5.0,5.0,5.0,2019-11-08 00:00:00.000000,True,EHyrounder,76
37,1770 House,New York Area,Best place in East Hampton. They are consistently lovely. The food was delicious a wonderful dinning experience. Recommend highly.,5,5.0,5.0,5.0,2019-11-06 00:00:00.000000,False,Local,1
38,1770 House,New York Area,Such a cozy place and wonderful staff! The food is delicious! They just need to have a heavier pour with wine. That’s my only suggestion.,5,5.0,5.0,5.0,2019-11-05 00:00:00.000000,False,krue,10
39,1770 House,New York Area,"1770 House was fabulous, as usual. Going there for Restaurant Week made it a tremendous bargain. I still would highly recommend it even when it is not Restaurant Week.",5,5.0,5.0,5.0,2019-11-04 00:00:00.000000,True,Ronald,19
40,Arethusa al Tavolo,New York Area,Fabulous food served in outdoor patio dining all with appropriate distancing and masks. 💜,5,5.0,5.0,5.0,2020-07-12 21:52:56.170355,False,OpenTable Diner,6
41,Arethusa al Tavolo,New York Area,"Food was delicious, every course was tasty and satisfying, while bringing unique flavors perfectly cooked. Yes it was expensive but great value, who wants to pay less and not receive unique and tasty dining. And, the service was truly excellent, amazing to see the numbers of wait staff, and all so enthusiastic!  The only improvement suggested Is to have more outdoor seating, hard to do while social distancing but necessary.",5,5.0,5.0,4.0,2020-07-01 00:00:00.000000,False,EllDeeAtArethusaBantam,3
42,Arethusa al Tavolo,New York Area,Words cannot describe the incredible dining experience we had at Arethusa al Tavolo. We were impressed from start to finish with service and food and will definitely go back for another fine dinner.,5,5.0,5.0,5.0,2020-03-15 00:00:00.000000,False,Penny,9
43,Arethusa al Tavolo,New England,Food was AMAZING! I would 100% recommend it! The service was great also!,5,5.0,5.0,5.0,2020-03-14 00:00:00.000000,False,karaB,3
44,Arethusa al Tavolo,Dallas,"Exceptional experience!  A must experience for any foodie out there and for anyone who appreciates quality, locally produced food.",5,5.0,5.0,5.0,2020-03-14 00:00:00.000000,False,Wesley,1
45,Arethusa al Tavolo,New England,My wife and I went out for our 26th Wedding Anniversary.  Everything was wonderful and we look forward to coming back.  They treat you like family.  We love this restaurant!Peter Cordeau,5,5.0,5.0,5.0,2020-03-13 00:00:00.000000,False,PeterC,2
46,Arethusa al Tavolo,New England,Food was unique and beautifully presented BUT the restaurant was so dark that we had to use our cellphone flashlights to see the menu and although the food looked like pieces of art  the room was too dark to really appreciate it.,4,5.0,5.0,3.0,2020-02-23 00:00:00.000000,False,StephanieL,5
47,Arethusa al Tavolo,New York Area,This is our go to fine dining experience in Connecticut.,5,5.0,5.0,5.0,2020-02-23 00:00:00.000000,False,JudyC,1
48,Arethusa al Tavolo,New England,This was our second time eating at Arethusa al Tavolo and it didn’t disappoint. Prices are average for fine dining but the food and service are outstanding which makes it completely worth it. Can’t wait to go back again!,5,5.0,5.0,5.0,2020-02-22 00:00:00.000000,False,CheyS,4
49,Arethusa al Tavolo,,Outstanding from beginning to end. Our favorite restaurant hands down! From the food to the service!!! Just absolutely incredible. Love our date nights at Arethusa Al Tavolo!,5,5.0,5.0,5.0,2020-02-22 00:00:00.000000,False,EricaP,1
